Albania, Albanië
Andorra, Andorra
Armenia, Armenië
Australia, Australië
Austria, Oostenrijk
Azerbaijan, Azerbaijan
Belarus, Wit-Rusland
Belgium, België
Bosnia & Herzegovina, Bosnië en Herzegovina
Bulgaria, Bulgarije
Croatia, Kroatië
Cyprus, Cyprus
Czech Republic, Tsjechië
Denmark, Denemarken
Estonia, Estland
Finland, Finland
France, Frankrijk
Georgia, Georgië
Germany, Duitsland
Greece, Griekenland
Hungary, Hongarije
Iceland, IJsland
Ireland, Ierland
Israel, Israël
Italy, Italië
Latvia, Letland
Lithuania, Litouwen
Luxembourg, Luxemburg
Malta, Malta
Moldova, Moldavië
Monaco, Monaco
Montenegro, Montenegro
Morocco, Marokko
North Macedonia, Noord-Macedonië
Norway, Noorwegen
Poland, Polen
Portugal, Portugal
Romania, Roemenië
Russia, Rusland
San Marino, San Marino
Serbia, Servië
Serbia & Montenegro, Servië en Montenegro
Slovakia, Slowakije
Slovenia, Slovenië
Spain, Spanje
Sweden, Zweden
Switzerland, Zwitserland
The Netherlands, Nederland
Turkey, Turkije
Ukraine, Oekraïne
United Kingdom, Verenigd Koninkrijk
Yugoslavia, Joegoslavië
